"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1338002029908353095","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338002029908353095","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1337183568453176092","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","1","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1337183568453176092","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338001489531578694","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338210794061550495","【狂欢价】THE LAUNDRESS衣物香氛喷雾-经典香氛250ml香氛香水减淡异味","180.00","2","LAS-010","null","null","null","卖家已发货，等待买家确认","LAS-010"
="1338210794061550495","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","2","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1338210794061550495","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","6","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1217146239482957313","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","交易成功","LAS-001"
="1217174247390961923","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1217215646157791718","【品牌新享】THE LAUNDRESS衣物抗静电喷雾60ml","80.00","1","67904551","null","null","null","卖家已发货，等待买家确认","67904551"
="1338222818121909887","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1217203440093876314","【狂欢价】THE LAUNDRESS口碑星品随心购两件组A经典棉麻婴儿浓缩香氛洗衣液","520.00","1","LA20200923003","净含量：经典+婴儿","null","null","卖家已发货，等待买家确认","LA20200923003"
="1338171770611979835","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1338145346057418550","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","1","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1338158558755318597","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1337973697961104770","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1217145265279637921","【狂欢价】THE LAUNDRESS衣物除皱喷雾250ml衣物柔顺剂","180.00","1","LAS-014","null","null","null","交易成功","LAS-014"
="1337112036172063946","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","2","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338192434025402480","【狂欢价】THE LAUNDRESS口碑星品随心购两件组A经典棉麻婴儿浓缩香氛洗衣液","520.00","1","LA20200923005","净含量：经典+白色","null","null","交易成功","LA20200923005"
="1338017293987685384","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338244094107714968","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","2","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338379347687487441","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1338379347687487441","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","1","LAB-008","null","null","null","卖家已发货，等待买家确认","LAB-008"
="1338379347687487441","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1338197510686543433","THE LAUNDRESS彩虹合唱团洗护礼盒经典棉麻羊毛羊绒洗衣液","400.00","1","LA20201014003","净含量：经典1L+羊毛475ml","null","null","卖家已发货，等待买家确认","LA20201014003"
="1217187096734599021","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","交易关闭","LAL-005"
="1217187096734599021","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1336033188773550344","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338335751869654985","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","2","LAS-001","null","null","null","交易成功","LAS-001"
="1338314223993984053","【狂欢价】THE LAUNDRESS衣物香氛喷雾-经典香氛250ml香氛香水减淡异味","180.00","1","LAS-010","null","null","null","卖家已发货，等待买家确认","LAS-010"
="1338314223993984053","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","卖家已发货，等待买家确认","LAC-014"
="1217185371952076911","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","5","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1338021433187301342","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337158800072830779","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","交易关闭","LAS-001"
="1217195953515005921","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","6","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1217191956139160404","【天猫福宝】除皱喷雾 THE LAUNDRESS衣物除皱喷雾60ml","80.00","1","67918262","null","null","null","卖家已发货，等待买家确认","67918262"
="1338317391970057825","【狂欢价】THE LAUNDRESS专衣专护随心购两件组B羊毛细致内衣去渍清洁洗衣液","480.00","1","LA20201030006","净含量：去渍+羊毛羊绒","null","null","交易关闭","LA20201030006"
="1217185513723783423","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","2","LAB-008","null","null","null","交易关闭","LAB-008"
="1217185513723783423","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338214250950204483","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","2","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1217239010527130900","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1337151744998408266","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1336800133627710735","【狂欢价】THE LAUNDRESS牛仔布料洗衣精475ml护色洗衣剂","190.00","1","LAS-019","null","null","null","卖家已发货，等待买家确认","LAS-019"
="1336800133627710735","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1336381093498337161","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1337716513955385269","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1338236463404529538","【狂欢价】THE LAUNDRESS运动衣物洗衣精475ml户外清香浓缩洗衣液","190.00","1","LAS-021","null","null","null","卖家已发货，等待买家确认","LAS-021"
="1338236463404529538","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","1","LAS-003","null","null","null","卖家已发货，等待买家确认","LAS-003"
="1338236463404529538","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1217104983295555521","【狂欢价】THE LAUNDRESS专衣专护随心购两件组B羊毛细致内衣去渍清洁洗衣液","480.00","1","LA20201030002","净含量：细致+羊毛羊绒","null","null","卖家已发货，等待买家确认","LA20201030002"
="1337973841425406076","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","交易关闭","LAS-001"
="1337973841425406076","【狂欢价】THE LAUNDRESS牛仔布料洗衣精475ml护色洗衣剂","190.00","1","LAS-019","null","null","null","卖家已发货，等待买家确认","LAS-019"
="1337973841425406076","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易关闭","LAC-006"
="1335155112834966863","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","交易成功","LAC-006"
="1337187024326075564","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","交易成功","LASMS-001"
="1217238974091524311","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217238974091524311","【狂欢价】THE LAUNDRESS牛仔布料洗衣精475ml护色洗衣剂","190.00","2","LAS-019","null","null","null","卖家已发货，等待买家确认","LAS-019"
="1217238974091524311","【狂欢价】THE LAUNDRESS运动衣物洗衣精475ml户外清香浓缩洗衣液","190.00","2","LAS-021","null","null","null","卖家已发货，等待买家确认","LAS-021"
="1338360195149648260","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1338269907531788860","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","2","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338269907531788860","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1337896875950999682","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","2","LAS-001","null","null","null","交易成功","LAS-001"
="1337896875950999682","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","交易成功","LABC-004"
="1337896875950999682","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","交易成功","LAS-020"
="1337896875950999682","【狂欢价】THE LAUNDRESS手洗专用衣物去渍皂 56g*2油脂污渍手工洗衣皂","130.00","1","LA-LAB-00","null","null","null","交易成功","LA-LAB-00"
="1338239451687405444","【品牌新享】THE LAUNDRESS衣物抗静电喷雾60ml","80.00","1","67904551","null","null","null","交易成功","67904551"
="1338215258199059362","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217072547442178616","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","交易成功","LAS-002"
="1217072547442178616","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","1","LAS-003","null","null","null","交易成功","LAS-003"
="1217072547442178616","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","交易成功","LABC-004"
="1338225194384427752","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1338225194384427752","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","交易成功","LAS-020"
="1337263311304221498","【品牌新享】THE LAUNDRESS衣物抗静电喷雾60ml","80.00","1","67904551","null","null","null","卖家已发货，等待买家确认","67904551"
="1337147532611348730","【狂欢价】THE LAUNDRESS专衣专护随心购两件组B羊毛细致内衣去渍清洁洗衣液","480.00","1","LA20201030006","净含量：去渍+羊毛羊绒","null","null","卖家已发货，等待买家确认","LA20201030006"
="1337147532611348730","【狂欢价】THE LAUNDRESS口碑星品随心购两件组A经典棉麻婴儿浓缩香氛洗衣液","520.00","1","LA20200923003","净含量：经典+婴儿","null","null","卖家已发货，等待买家确认","LA20200923003"
="1338003505841153895","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","卖家已发货，等待买家确认","LAB-012"
="1338165182143907740","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338283263074193267","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","交易成功","LASMS-001"
="1337976433063209053","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","5","LAB-008","null","null","null","交易成功","LAB-008"
="1337976433063209053","【狂欢价】THE LAUNDRESS口碑星品随心购两件组A经典棉麻婴儿浓缩香氛洗衣液","520.00","1","LA20200923009","净含量：婴儿+深色","null","null","交易成功","LA20200923009"
="1337976433063209053","【狂欢价】THE LAUNDRESS口碑星品随心购两件组A经典棉麻婴儿浓缩香氛洗衣液","520.00","1","LA20200923008","净含量：经典+深色","null","null","交易成功","LA20200923008"
="1338175730190652829","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1338345363948288944","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","交易关闭","LAS-020"
="1338345363948288944","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易关闭","LAC-006"
="1338345363948288944","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","交易关闭","LAL-005"
="1338185378710069079","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337113512783764736","【狂欢价】THE LAUNDRESS衣物除皱喷雾60ml*2","160.00","1","LA-LASMS-014","null","null","null","卖家已发货，等待买家确认","LA-LASMS-014"
="1337998249734158384","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1217171043872042702","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338319011450998639","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","1","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1338319011450998639","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338322575785646741","【双11新会员礼】去渍15ml+经典15ml 1分钱付邮试用限2小时内付款","50.00","1","LA20201010001","null","null","null","卖家已发货，等待买家确认","LA20201010001"
="1337998753134138832","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","2","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1337998753134138832","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1217118447895222015","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217118447895222015","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1338204674832538347","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","3","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338357027014226938","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","2","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338189986664086058","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1337121432809574960","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1338196718904758964","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338196718904758964","【双11新会员礼】去渍15ml+经典15ml 1分钱付邮试用限2小时内付款","50.00","1","LA20201010001","null","null","null","卖家已发货，等待买家确认","LA20201010001"
="1338265299025576768","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338265299025576768","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1337984245066316738","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","3","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1337984245066316738","【狂欢价】THE LAUNDRESS手洗专用衣物去渍皂 56g*2油脂污渍手工洗衣皂","130.00","1","LA-LAB-00","null","null","null","卖家已发货，等待买家确认","LA-LAB-00"
="1217140440924211617","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217176620952067801","【天猫福宝】抗静电喷雾 THE LAUNDRESS衣物抗静电喷雾60ml","80.00","1","67904551","null","null","null","交易成功","67904551"
="1217176620952067801","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1337971249398584347","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337160312046589273","【品牌新享】THE LAUNDRESS衣物抗静电喷雾60ml","80.00","1","67904551","null","null","null","卖家已发货，等待买家确认","67904551"
="1337121900919257661","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338320199335767597","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338199814295349252","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1337135508650316647","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","卖家已发货，等待买家确认","LAB-012"
="1337135508650316647","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338314187549218256","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217161683773555606","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217189292313695721","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1219567261565099098","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","交易成功","LAS-020"
="1337097996431796184","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1337097996431796184","【狂欢价】THE LAUNDRESS婴儿洗衣精-无香型初生儿宝宝专用洗衣液洗涤剂","210.00","1","LABC-004U","null","null","null","卖家已发货，等待买家确认","LABC-004U"
="1337097996431796184","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1337984353017691869","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","1","LAS-003","null","null","null","卖家已发货，等待买家确认","LAS-003"
="1337984353017691869","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1337984353017691869","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1337129316733523433","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","1","LAS-003","null","null","null","卖家已发货，等待买家确认","LAS-003"
="1337129316733523433","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337129316733523433","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","5","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1217166327773415400","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","交易成功","LAS-002"
="1217166327773415400","【狂欢价】THE LAUNDRESS衣物除皱喷雾250ml衣物柔顺剂","180.00","1","LAS-014","null","null","null","交易成功","LAS-014"
="1337159016373851149","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","2","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1337159016373851149","【狂欢价】THE LAUNDRESS婴儿洗衣精-无香型初生儿宝宝专用洗衣液洗涤剂","210.00","2","LABC-004U","null","null","null","卖家已发货，等待买家确认","LABC-004U"
="1217221694730334324","【送礼佳选】thelaundress洗衣液兑换卡 可兑3瓶 180天有效期","598.50","1","null","可兑换次数：3次;有效期：180天","null","null","交易成功","null"
="1338138830585174156","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1337133348495816068","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1337966857336738673","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337099292018404049","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","3","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338154166151981676","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1338154166151981676","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338139442760721873","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","卖家已发货，等待买家确认","LAC-014"
="1338139442760721873","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337148432124851431","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1337100156805333526","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","5","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1337100156805333526","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","2","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1337100156805333526","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","3","LAB-008","null","null","null","卖家已发货，等待买家确认","LAB-008"
="1337100156805333526","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","5","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1337128668768335074","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","交易关闭","LAC-006"
